ninjutsu,neen-joot-soo
genjutsu,genjootsoo
taijutsu,tie-joot-soo
kenjutsu,kenjootsoo
senjutsu,senjootsoo
dojutsu,doe-joot-soo
dōjutsu ,doe-joot-soo
Fūinjutsu,foo-een-joot-soo
fuinjutsu,foo-een-joot-soo
kinjutsu,keenjootsoo
jutsu,jootsoo
Rinnegan,rinehgahn
Rasengan,rahsengahn
Rasenshuriken,rahsenshooreeken
Shunshin,shoonsheen
Hiraishin,hee-rye-sheen
Kikaichū,kee-kai-choo
Kikaichu,kee-kai-choo
Sannin,sahneen
Kage,kah-geh
Bunshin,boonsheen
kunoichi,koonoeechee
kusanagi,koosahnahgee
genin,geh-neen
chunin,choo-neen
Chūnin,choo-neen
Jōnin,joeneen
jonin,joeneen
jounin,joeneen
Akatsuki,ahkahtskee
Shinra,sheenrah
Kirigakure,keereegahkooray
Konohagakure,kohnohahgahkooray
Kusagakure,koo-sah-gah-koo-ray
Kannabi,kahnnahbee
Hōzuki,hoezookee
Hozuki,hoezookee
Takigakure,tahkeegahkooray
Yukigakure,yoo-kee-gah-koo-ray
Amegakure,ah-meh-gah-koo-ray
Ame,ah-may
Kumogakure,koomohgahkooray
Kumo,koo-moh
Sunagakure,soo-nah-gah-koo-ray
Iwagakure,eewahgahkooray
Iwa,eewah
Otogakure,oh-toh-gah-koo-ray
Tanzaku,tahn-zah-koo
Fūton,foo-tone
Suiton,sooeetone
Hyōton,hyo-tone
Doton,doetone
Raiton,ryetone
Katon,kahtone
Kamui,kahmooee
Kotoamatsukami,koh-toh-ah-maht-soo-kah-mee
Tomoe,toe-moh-eh
Izanagi,eezahnahgee
Izanami,ee-zah-nah-mee
Gōkakyū,go-kah-kyoo
Byakugan,byah-koo-gahn
Nidaime,nee-die-may
Sandaime,sahn-die-may
Yondaime,yohn-die-may
Godaime,go-die-may
Rokudaime,roh-koo-die-may
Nanadaime,nah-nah-die-may
Mizukage,mee-zoo-kah-geh
Raikage,rye-kah-geh
Tsuchikage,tsoo-chee-kah-geh
Kunai,koonye
senbon,senbone
samehada,sahmehhahdah
Hiramekarei,hee-rah-meh-kah-ray
Akatsuki,ahkahtskee
ANBU,ahnboo
Fūin,foo-een
Hōin,hoeeen
Aoda,owdah
Tenseigan,tensaygohn
Ōtsutsuki,oh-tsu-tsue-kee
Hamura,hahmoorah
Hagoromo,hahgorohmoh
Gennin,geh-neen
Nukenin,nookayneen
Haori,hah-oh-ree
Kami,kahmee
Tengu,tengoo
Yūrei,yooray
Kitsune,kee-tsoo-neh
Dango,dahngoh
Onigiri,ohneegearee
Mochi,mohchee
Tempura,tempoorah
 kun,koon
 hime,hee-may
-kun,koon
dono,doh-noh
-dono,doh-noh
-hime,hee-may
nee-san,nay-saan
nii-san,kneesaan
oba-san,oh-bah-saan
oji-san,oh-jee-saan
san,saan
nii,knee
oji,oh-jee
yin,yiin
yang,yaang
